#complex,groundtruth,simcomplex,simground,z3res,verificationtime
x-1*(x|y)-1*~y+5*(~(x&~x))+~x+2*(~(x&~y))-3*(~(x|y))-9*(~(x|~y))-2*(x&~y)-3*(x&y),-2*(x^y)+4*(x|~y),4*~(x|y)-2*~(x|~y)+2*(x&~y)+4*(x&y),4*~(x|y)-2*~(x|~y)+2*(x&~y)+4*(x&y),True,0.010093927383422852
-1*(x|~y)-1*~x-1*x-1*(~(x&y))-2*(~(x&~x))-2*y+6*(~(x|y))+5*(~(x|~y))+7*(x&~y)+5*(x&y),-(~(x&~y))+2*~y,1*~(x|y)-1*~(x|~y)+2*(x&~y)-1*(x&y),1*~(x|y)-1*~(x|~y)+2*(x&~y)-1*(x&y),True,0.010145902633666992
-1*(~(x&y))-1*(x|y)+(x|~y)-2*(~(x&~y))-1*y+~x+~y+(~(x&~x))+2*x-1*(~(x|y))+5*(~(x|~y))-1*(x&~y),2*(x^y),2*(x^y),2*(x^y),True,0.009539604187011719
2*(~(x^y))-1*~y+(x|y)-1*~x-2*(~(x&~x))+(x|~y)+3*(~(x&y))-1*(~(x&~y))+y-1*(~(x|y))-3*(~(x|~y))-4*(x&~y)-2*(x&y),-2*(x^y),-2*(x^y),-2*(x^y),True,0.009458303451538086
~y-2*x+~x-1*(~(x&y))+(x|y)-1*(x|~y)+2*(~(x^y))-2*(~(x&~y))+y+1*(~(x|y))+1*(~(x|~y))+3*(x&~y)+2*(x&y),1*(~(x&~x)),-1,-1,True,0.009286165237426758
-1*(x|~y)+~x+(~(x&y))+(~(x^y))-1*y-1*(~(x&~y))+x-1*(~(x|y))+1*(~(x|~y))+2*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.009545564651489258
-1*~x-1*(x^y)+x+4*~y-2*(x|y)-4*(~(x&~y))-1*y-1*(x|~y)+8*(~(x|~y))-2*(x&~y)+6*(x&y),-(~(x&y))-(~(x^y)),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),-2*~(x|y)-1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.010165691375732422
2*~x+(x|~y)-2*x-1*(~(x^y))+2*~y-1*(x^y)+y+(~(x&~y))-1*(~(x&y))-4*(~(x|y))-1*(~(x|~y))+2*(x&~y)+1*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.009409189224243164
(x^y)+(~(x&y))-1*(~(x^y))+~y-1*x-1*(~(x&~x))-1*(x|y)+y-1*(~(x|y))-2*(~(x|~y))+3*(x&y),-~x,-1*~x,-1*~x,True,0.009384632110595703
-1*(~(x^y))-1*(x^y)-1*(~(x&y))-2*y-1*(x|y)-1*(x|~y)+2*x+2*(~(x|y))+4*(~(x|~y))+1*(x&~y)+2*(x&y),-(~(x&~x)),1,1,True,0.009233236312866211
-2*(~(x&~y))-1*~x-1*(~(x&y))+(~(x&~x))-2*(x^y)+x+5*(~(x|y))+6*(~(x|~y))+2*(x&~y)+3*(x&y),1*(x|y)+2*(~(x^y)),2*~(x|y)+1*~(x|~y)+1*(x&~y)+3*(x&y),2*~(x|y)+1*~(x|~y)+1*(x&~y)+3*(x&y),True,0.010070085525512695
-5*~y+(x^y)+(x|~y)-1*(x|y)-2*(~(x&~y))+2*(~(x&~x))+y+4*(~(x^y))+(~(x&y))-1*(~(x|y))-2*(~(x|~y))-6*(x&y),-x,-1*x,-1*x,True,0.009432077407836914
-2*(x|y)+y+(~(x&y))-1*(~(x^y))+(~(x&~y))+(~(x&~x))-1*(~(x|y))-1*(~(x|~y))-1*(x&~y)-1*(x&y),1*~x-x,1*~(x|y)+1*~(x|~y)-1*(x&~y)-1*(x&y),1*~(x|y)+1*~(x|~y)-1*(x&~y)-1*(x&y),True,0.010083675384521484
-1*(~(x&~x))-5*x-1*(~(x^y))-1*(x|~y)+(~(x&y))+~y+(x|y)-1*y-1*(x^y)-1*(~(x|y))-1*(~(x|~y))+5*(x&~y)+6*(x&y),-2*(~(x&~y)),-2*~(x&~y),-2*~(x&~y),True,0.009608983993530273
-1*y+(~(x&~x))+(x|y)+2*(~(x&~y))+(x|~y)+x-1*(x^y)-1*(~(x&y))-4*(~(x|y))-1*(~(x|~y))-3*(x&~y)-5*(x&y),-~y,-1*~y,-1*~y,True,0.009453535079956055
-1*x+(~(x&~x))-2*y-4*(~(x^y))+2*(~(x&y))-1*(~(x&~y))+(x|~y)+2*~x-1*(x^y)-1*(~(x|y))-1*(x&~y)+7*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.009473085403442383
-1*y-1*(x^y)-1*(x|~y)+(~(x&y))-2*~x-1*x+(x|y)+~y-2*(~(x&~y))+4*(~(x|y))+4*(~(x|~y))+5*(x&y),1*(~(x^y)),1*~(x^y),1*~(x^y),True,0.009539365768432617
-1*~y+y+(~(x^y))-1*(~(x&~x))+x+2*~x+2*(~(x&y))+2*(~(x&~y))+(x|y)-5*(~(x|y))-8*(~(x|~y))-3*(x&~y)-5*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.009542703628540039
(x|~y)+~x+(~(x&~x))+x-1*y-2*(~(x^y))-1*(x^y)+(~(x&~y))-1*(~(x|y))-1*(~(x|~y))-1*(x&~y)-1*(x&y),1*~y,1*~y,1*~y,True,0.009454011917114258
2*y+~y+(x^y)-1*(~(x&~x))-1*~x+(x|~y)+(~(x&y))+(x|y)-2*(~(x|y))-3*(~(x|~y))-4*(x&~y)-4*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.00951528549194336
(~(x&y))+(x^y)-1*y+x-2*(x|~y)+2*(~(x&~y))+~y-1*(~(x^y))-1*(~(x|y))-4*(~(x|~y))-3*(x&~y),-(x|y),-1*(x|y),-1*(x|y),True,0.00968790054321289
2*(x^y)-2*x+(~(x&y))+3*(~(x|y))-4*(~(x|~y))+4*(x&~y)+7*(x&y),-~x+5*(x|~y),4*~(x|y)-1*~(x|~y)+5*(x&~y)+5*(x&y),4*~(x|y)-1*~(x|~y)+5*(x&~y)+5*(x&y),True,0.010107994079589844
-1*x-1*(~(x&y))+2*(x^y)+2*(~(x&~y))-1*(~(x^y))-1*y-2*(x|~y)+(x|y)+6*(~(x|y))-4*(~(x|~y))+5*(x&~y)+1*(x&y),5*~y-(~(x&~x)),4*~(x|y)-1*~(x|~y)+4*(x&~y)-1*(x&y),4*~(x|y)-1*~(x|~y)+4*(x&~y)-1*(x&y),True,0.010029077529907227
(x^y)-1*(x|y)+(~(x^y))-1*~x+(~(x&~y))+2*y-2*(x|~y)-3*(~(x|~y))+1*(x&~y)-2*(x&y),-(~(x&~x)),1,1,True,0.009183645248413086
(x|~y)+(~(x^y))-1*~x-2*(~(x|y))-2*(x&~y)-3*(x&y),-~y-y,1,1,True,0.009221553802490234
x-1*(~(x&~x))+2*(~(x^y))+(~(x&y))-1*(x^y)-2*(x|~y)-1*~x-1*(~(x&~y))+3*(~(x|y))+3*(~(x|~y))+3*(x&~y)+1*(x&y),1*~y,1*~y,1*~y,True,0.009443044662475586
-1*(x|y)+(~(x^y))-2*(~(x&~y))+x+5*y+~y+3*(~(x|y))+2*(~(x|~y))-4*(x&y),1*(x^y)+3*~x,3*~(x|y)+4*~(x|~y)+1*(x&~y),3*~(x|y)+4*~(x|~y)+1*(x&~y),True,0.009936809539794922
~y-1*y+2*x-1*(x|~y)-1*(~(x&y))+(~(x&~x))+~x-1*(~(x^y))-2*(x&~y)-1*(x&y),1*(x^y)-(x|y),-1*(x&y),-1*(x&y),True,0.009549379348754883
-1*(~(x&y))+(x|y)-1*(~(x&~y))-1*x-2*y+~y+3*(~(x|~y))-1*(x&~y)+2*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.00955057144165039
-2*(x|y)-1*(~(x^y))+y+(~(x&~x))+(~(x&~y))+~x+2*(x^y)-2*x-2*(~(x|y))-5*(~(x|~y))+1*(x&~y)+3*(x&y),-(~(x&y))+1*(x|~y),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.009693145751953125
~x-1*~y-1*(x^y)+(x|~y)-1*(~(x&~y))-1*(~(x&~x))-1*(x|y)+2*(~(x&y))-2*(~(x|y))+1*(~(x|~y))+1*(x&~y)+1*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.009570837020874023
-5*~y-4*(~(x&~y))-1*(~(x^y))-1*(~(x&~x))-2*(~(x&y))+x+~x+12*(~(x|y))+5*(~(x|~y))+6*(x&~y)+4*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.00951385498046875
2*(~(x&y))+y+(~(x&~x))+(x|~y)-1*(~(x^y))-2*~y-1*(~(x|y))-5*(~(x|~y))-3*(x&~y)-3*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.009545087814331055
(~(x&y))-1*(~(x&~y))+(~(x&~x))-1*(~(x^y))+~y+(x^y)+y-1*~x-1*(x|~y)+1*(~(x|y))-2*(~(x|~y))-2*(x&~y)+2*(x&y),1*x,1*x,1*x,True,0.009481430053710938
-1*(~(x&~x))+(x^y)-2*(~(x&~y))-1*(~(x&y))+~x+(x|y)+1*(~(x|y))+1*(~(x|~y))-3*(x&~y)-1*(x&y),-2*(x|~y)-x,-2*~(x|y)-3*(x&~y)-3*(x&y),-2*~(x|y)-3*(x&~y)-3*(x&y),True,0.009955406188964844
(x^y)+(~(x&~y))+(~(x&y))-2*x-1*~x+(~(x^y))+~y+(x|~y)-1*y-4*(~(x|y))-1*(x&~y)+1*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.009642362594604492
-1*(~(x&y))-2*(~(x&~x))+(x|y)+(x^y)-1*(~(x&~y))-1*x+7*(~(x|y))+2*(~(x|~y))+4*(x&~y)+4*(x&y),1*(~(x^y))+2*~y,3*~(x|y)+2*(x&~y)+1*(x&y),3*~(x|y)+2*(x&~y)+1*(x&y),True,0.009992837905883789
-1*(~(x^y))-2*(~(x&~y))+x+~x-1*(~(x&y))+(x^y)+5*(~(x|y))+3*(~(x|~y))+1*(x&~y)+4*(x&y),2*(~(x&~x)),-2,-2,True,0.009308576583862305
2*(x|y)-1*x-1*~y+(x^y)-1*y+~x-1*(~(x^y))-1*(~(x&~y))-1*(~(x&~x))+4*(~(x|y))+1*(x&~y)+3*(x&y),1*(~(x&y)),1*~(x&y),1*~(x&y),True,0.009540319442749023
-1*~x+(~(x&y))-1*~y+(~(x^y))-1*x-1*(~(x&~y))-1*(x|~y)+2*(~(x|y))+2*(~(x|~y))+2*(x&~y)+3*(x&y),1*y,1*y,1*y,True,0.009569168090820312
2*(~(x&~x))+2*(~(x&y))-2*(~(x^y))-1*(x|~y)+5*~y+(x^y)+y-6*(~(x|y))-5*(~(x|~y))-8*(x&~y)+1*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.009537696838378906
~y-2*(~(x&~x))+(~(x&y))+x+(~(x^y))+y-1*(x|~y)+(~(x&~y))+2*(x^y)-1*(~(x|y))-1*(~(x|~y))+1*(x&y),2*(x|y),2*(x|y),2*(x|y),True,0.009506702423095703
(x^y)-1*y+2*(x|y)-2*(~(x&~y))+2*(~(x&y))-1*~y+(x|~y)-1*(~(x|y))-2*(~(x|~y))-5*(x&~y)-1*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.009585380554199219
2*(x|~y)-1*(x|y)-2*x+2*(~(x^y))-2*~x-1*(~(x&y))-1*(~(x&~x))-2*y-2*(~(x|y))+6*(~(x|~y))+4*(x&~y),-2*(~(x&~y))+1*(x^y),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),True,0.010127544403076172
-1*x+~y-2*(~(x&y))-1*~x-1*(x|~y)+2*(~(x&~y))-3*(~(x|y))+2*(~(x|~y))+4*(x&~y)-4*(x&y),-4*(~(x^y))+1*(x^y),-4*~(x|y)+1*~(x|~y)+1*(x&~y)-4*(x&y),-4*~(x|y)+1*~(x|~y)+1*(x&~y)-4*(x&y),True,0.010201215744018555
-2*y+(~(x&~x))+~y+(x|y)+~x+(x|~y)-4*(~(x|y))-3*(x&~y)-1*(x&y),1*(x^y),1*(x^y),1*(x^y),True,0.009435415267944336
5*y-1*(x|~y)-1*x+(~(x&y))+(~(x&~y))+2*(~(x^y))-3*(~(x|y))-8*(~(x|~y))-7*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.009595155715942383
~x-1*(x|~y)-1*(x|y)-2*(~(x^y))+(x^y)-3*(~(x|~y))-1*(x&~y)+2*(x&y),-2*(~(x&~x)),2,2,True,0.009296178817749023
~y-2*(~(x&~y))-1*(x|~y)+(~(x^y))+(~(x&y))-1*(~(x|y))+1*(~(x|~y))-1*(x&~y)+3*(x&y),-~x+1*y,-1*~(x|y)+1*(x&y),-1*~(x|y)+1*(x&y),True,0.009714603424072266
(~(x&~x))-1*x+(x|~y)-1*(x|y)+2*(~(x^y))+2*(~(x&~y))+2*y-1*~y+2*(~(x|y))+3*(~(x|~y))+3*(x&~y)-6*(x&y),5*~x+2*(~(x&y)),7*~(x|y)+7*~(x|~y)+2*(x&~y),7*~(x|y)+7*~(x|~y)+2*(x&~y),True,0.009945154190063477
~y-1*(~(x&~y))-3*(x^y)+2*y+(~(x&y))+2*x+(~(x^y))-1*(~(x|y))+2*(~(x|~y))+1*(x&~y)-2*(x&y),1*(x|y)+1*(x|~y),1*~(x|y)+1*~(x|~y)+2*(x&~y)+2*(x&y),1*~(x|y)+1*~(x|~y)+2*(x&~y)+2*(x&y),True,0.010119199752807617
-1*~x+2*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-5*(x&~y)-4*(x&y),-2*(x|~y)-~y,-3*~(x|y)-3*(x&~y)-2*(x&y),-3*~(x|y)-3*(x&~y)-2*(x&y),True,0.009964466094970703
(~(x^y))+(~(x&y))-1*x+(x^y)+(~(x&~y))-5*(~(x&~x))+3*(~(x|y))+2*(~(x|~y))+5*(x&~y)+5*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.009586572647094727
-1*~y-2*x+(x|y)-1*(~(x^y))-1*(~(x&y))-1*(~(x&~x))-1*y+3*(~(x|y))+1*(~(x|~y))+4*(x&~y)+4*(x&y),-~x,-1*~x,-1*~x,True,0.009458780288696289
(x|~y)-1*x-1*(~(x&~y))+5*(~(x^y))-1*(~(x&y))+2*(x^y)+(~(x&~x))-5*(~(x|y))-1*(x&~y)-4*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.009490728378295898
~y+(x|y)+2*(~(x&y))-1*x-2*(~(x&~x))-1*(x^y)-5*(x|~y)+3*(~(x|y))-1*(~(x|~y))+5*(x&~y)+6*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.009528160095214844
x+(x^y)+2*(~(x&y))-5*~x-1*(~(x^y))+2*~y-1*(x|~y)+y+3*(~(x|y))-6*(x&~y)-1*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.009485960006713867
-1*(x|~y)+(x|y)+(~(x^y))+(~(x&~x))-2*y-2*(x^y)+5*(~(x&y))-1*(~(x&~y))-6*(~(x|y))-3*(~(x|~y))-3*(x&~y)+2*(x&y),-~x+1*x,-1*~(x|y)-1*~(x|~y)+1*(x&~y)+1*(x&y),-1*~(x|y)-1*~(x|~y)+1*(x&~y)+1*(x&y),True,0.010088682174682617
2*(~(x^y))-4*x+(~(x&~x))-2*~x+y-1*(~(x&y))+~y+(x|y)-1*(x|~y)-1*(~(x|~y))+2*(x&~y),-(x^y),-1*(x^y),-1*(x^y),True,0.009508848190307617
~x-4*(~(x&y))+2*~y+(~(x^y))-1*x-3*(~(x|y))+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(~(x&~x)),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),True,0.010107755661010742
5*(x|y)-1*(x^y)+2*x-1*~x-1*(~(x&y))+(~(x&~x))-3*(~(x|~y))-7*(x&~y)-9*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.00960230827331543
-2*(x^y)-1*(~(x&~x))+~x+(~(x&~y))-1*~y+5*(~(x|y))+2*(~(x|~y))+4*(x&~y)+6*(x&y),5*(~(x^y))+1*y,5*~(x|y)+1*~(x|~y)+6*(x&y),5*~(x|y)+1*~(x|~y)+6*(x&y),True,0.00999140739440918
x-2*(~(x&~y))+2*(~(x^y))+~y+3*(x^y)+2*(x|y)-2*(~(x|y))-4*(~(x|~y))-8*(x&~y)-3*(x&y),-(~(x&y)),-1*~(x&y),-1*~(x&y),True,0.009643316268920898
-2*(~(x&~y))+(x^y)-2*y+4*~y-3*(~(x|y))+2*(~(x|~y))-3*(x&~y)+7*(x&y),3*x-(~(x&y)),-1*~(x|y)-1*~(x|~y)+2*(x&~y)+3*(x&y),-1*~(x|y)-1*~(x|~y)+2*(x&~y)+3*(x&y),True,0.010204076766967773
x-1*(~(x&~x))+y+2*(~(x&~y))-1*~y-1*(~(x^y))-1*(x^y)+6*(~(x|y))+6*(x&~y)+2*(x&y),4*(x|~y)+1*~x,5*~(x|y)+1*~(x|~y)+4*(x&~y)+4*(x&y),5*~(x|y)+1*~(x|~y)+4*(x&~y)+4*(x&y),True,0.010087728500366211
-3*~x-1*(~(x^y))+4*x-1*~y+(~(x&y))+(~(x&~x))+4*(~(x|y))+4*(~(x|~y))-3*(x&~y)-3*(x&y),1*(~(x&~y))+2*(x^y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),True,0.010075569152832031
2*(~(x&y))+y+(~(x&~x))+(x|~y)-1*(~(x^y))-2*~y-1*(~(x|y))-5*(~(x|~y))-3*(x&~y)-3*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.009425163269042969
(~(x&~y))+2*(x^y)-1*~y+(x|y)+(~(x&~x))+~x+y+x-4*(~(x|y))-9*(~(x|~y))-6*(x&~y)-5*(x&y),-2*(~(x&y)),-2*~(x&y),-2*~(x&y),True,0.009501457214355469
-2*(x|y)-1*~y-4*(~(x&~x))+~x-2*(x^y)+3*(~(x|y))+6*(~(x|~y))+9*(x&~y)+5*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.009527921676635742
(~(x&~y))-2*y+(~(x^y))-1*(x|y)+(~(x&~x))-5*(~(x|y))-1*(~(x|~y)),-2*~x,-2*~x,-2*~x,True,0.009415149688720703
-1*x-1*~x+4*(x|~y)-1*(~(x&~y))-1*~y-4*(x&~y)-1*(x&y),1*(~(x^y))-2*(x^y),1*~(x|y)-2*~(x|~y)-2*(x&~y)+1*(x&y),1*~(x|y)-2*~(x|~y)-2*(x&~y)+1*(x&y),True,0.010162591934204102
-1*(x|y)+(~(x^y))+(~(x&y))+x+(x^y)-1*(x|~y)-1*(~(x&~x))-2*~y+3*(~(x|y))+2*(x&~y),1*~x-y,1*~(x|y)-1*(x&y),1*~(x|y)-1*(x&y),True,0.009706258773803711
(x^y)+~y-2*(x|y)-1*(~(x&y))-1*(~(x&~x))+2*(~(x&~y))-1*x+y+2*~x-4*(~(x|y))-2*(~(x|~y))+3*(x&~y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.009546995162963867
(x|y)+(~(x&~y))+~y-1*y-1*(x|~y)-5*~x-1*(~(x&~x))+8*(~(x|y))+5*(~(x|~y))+4*(x&y),3*(~(x^y)),3*~(x^y),3*~(x^y),True,0.009505748748779297
~y-1*~x-1*(x|y)+(x^y)-1*y+2*(x|~y)+(~(x&~y))+(~(x^y))-1*x-3*(~(x|y))+2*(~(x|~y))-1*(x&~y),1*(~(x&~x)),-1,-1,True,0.009335517883300781
~x+3*(x^y)+2*(~(x&~y))+(~(x&~x))+~y-1*y+2*(x|~y)-1*(~(x^y))-6*(~(x|y))-5*(~(x|~y))-5*(x&~y)-1*(x&y),1*(x|y)+1*x,1*~(x|~y)+2*(x&~y)+2*(x&y),1*~(x|~y)+2*(x&~y)+2*(x&y),True,0.010021686553955078
-2*(~(x^y))+~y-1*(x|y)+~x-1*(~(x&y))+(~(x&~y))+(~(x&~x))-1*(~(x|y))-1*(~(x|~y))+1*(x&~y)+2*(x&y),1*x,1*x,1*x,True,0.009500503540039062
(x|y)-2*~y-1*y+2*x-1*(~(x&~x))-1*(x|~y)+3*(~(x|y))+1*(x&~y)-1*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.009572267532348633
x-1*(~(x&y))-1*(x^y)+(~(x&~y))-1*(~(x^y))-1*(~(x&~x))+1*(~(x|y))+3*(~(x|~y))+2*(x&~y)+2*(x&y),-~x+2*y,-1*~(x|y)+1*~(x|~y)+2*(x&y),-1*~(x|y)+1*~(x|~y)+2*(x&y),True,0.009927034378051758
(~(x&~x))-1*(~(x^y))-1*(~(x&y))-1*x+~y+y-2*~x+4*(~(x|y))+4*(~(x|~y))+1*(x&~y)+3*(x&y),1*(x|y)+2*(~(x&~y)),2*~(x|y)+3*~(x|~y)+1*(x&~y)+3*(x&y),2*~(x|y)+3*~(x|~y)+1*(x&~y)+3*(x&y),True,0.01013636589050293
-4*(~(x^y))+~y+y+~x+(~(x&y))+2*(~(x&~y))-1*(x|~y)+(x|y)+2*(x^y)-1*(~(x|y))-9*(~(x|~y))-5*(x&~y),-(~(x&~x)),1,1,True,0.009224414825439453
(~(x&~y))+2*~x-1*(~(x&y))+(~(x&~x))+(x|~y)-7*(~(x|y))-3*(~(x|~y))-2*(x&~y)-7*(x&y),-x-3*(~(x^y)),-3*~(x|y)-1*(x&~y)-4*(x&y),-3*~(x|y)-1*(x&~y)-4*(x&y),True,0.009903669357299805
~x+(x|y)+y-1*(~(x&~y))+(~(x^y))+(~(x&y))-4*(~(x|y))-5*(~(x|~y))-3*(x&~y)-3*(x&y),1*x-2*(~(x&~x)),-2*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),-2*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.010095357894897461
-1*(x|~y)+5*y+(~(x&~y))-1*(~(x&y))-2*(~(x^y))+~y+(x^y)-1*(x|y)+1*(~(x|y))-6*(~(x|~y))-1*(x&~y)-4*(x&y),-x-(~(x&~x)),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-2*(x&y),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-2*(x&y),True,0.010118722915649414
2*(~(x&~y))-1*~y+2*(~(x&~x))-1*(x^y)-1*(~(x^y))+(~(x&y))+(x|y)-1*x+4*~x-9*(~(x|y))-9*(~(x|~y))-3*(x&~y)-5*(x&y),-2*(x|~y),-2*(x|~y),-2*(x|~y),True,0.009481668472290039
(x|y)+x-1*(x|~y)-5*~x+(~(x^y))-1*y-1*(~(x&~y))+~y+7*(~(x|y))+8*(~(x|~y))+1*(x&y),1*(~(x&~x))+1*(~(x&y)),2*~(x|y)+2*~(x|~y)+2*(x&~y)+1*(x&y),2*~(x|y)+2*~(x|~y)+2*(x&~y)+1*(x&y),True,0.010078907012939453
-1*~x-1*(x^y)+y+(~(x&~x))-1*(~(x^y))+2*~y+1*(~(x|~y))-2*(x&~y),1*(~(x&~y)),1*~(x&~y),1*~(x&~y),True,0.009626626968383789
(~(x&y))+2*~x-1*(x|y)+(~(x&~y))-6*(~(x|y))-3*(~(x|~y))-2*(x&~y)-1*(x&y),-~y-(x|~y),-2*~(x|y)-2*(x&~y)-1*(x&y),-2*~(x|y)-2*(x&~y)-1*(x&y),True,0.009960174560546875
-1*(x^y)+(~(x&~x))-1*(x|~y)-1*(~(x^y))+(~(x&~y))-2*(~(x|y))-3*(~(x|~y))+1*(x&~y),-2*~x,-2*~x,-2*~x,True,0.009516000747680664
y+~x-1*x-1*(x|~y)+(~(x&y))+(x|y)+(~(x&~y))-1*(~(x&~x))-3*(x^y)-2*(~(x|y))-1*(~(x|~y))+3*(x&~y),-~y,-1*~y,-1*~y,True,0.009480714797973633
y-1*(~(x&~x))+3*(x^y)+(~(x&y))+1*(~(x|y))-3*(~(x|~y))-3*(x&~y)+1*(x&y),1*(~(x&~y)),1*~(x&~y),1*~(x&~y),True,0.009502887725830078
4*(~(x&y))+(x^y)-1*~x+~y+(~(x&~y))+(~(x&~x))-4*(~(x|y))-6*(~(x|~y))-6*(x&~y),1*(x|~y)+1*(~(x^y)),2*~(x|y)+1*(x&~y)+2*(x&y),2*~(x|y)+1*(x&~y)+2*(x&y),True,0.00986170768737793
(~(x^y))+2*~y+(~(x&y))-1*(x|y)+(~(x&~x))-1*(~(x&~y))-1*x+y-3*(~(x|y))-2*(x&~y),1*~x,1*~x,1*~x,True,0.009545326232910156
2*y+(x|y)-1*(~(x^y))-1*~x+(x^y)-4*(~(x&y))+(x|~y)+~y+x+5*(~(x|y))+2*(~(x|~y))-1*(x&~y)-3*(x&y),1*(~(x&~y)),1*~(x&~y),1*~(x&~y),True,0.00957942008972168
(~(x&y))-1*(~(x^y))+y+~x+(~(x&~x))-3*(~(x|y))-5*(~(x|~y))-4*(x&~y)-2*(x&y),-(x|y)-~y,-1*~(x|y)-1*~(x|~y)-2*(x&~y)-1*(x&y),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-1*(x&y),True,0.010083675384521484
~y-1*~x-1*(x|y)+(x^y)-1*y+2*(x|~y)+(~(x&~y))+(~(x^y))-1*x-3*(~(x|y))+2*(~(x|~y))-1*(x&~y),1*(~(x&~x)),-1,-1,True,0.009331941604614258
-3*~x-1*(~(x^y))+4*x-1*~y+(~(x&y))+(~(x&~x))+4*(~(x|y))+4*(~(x|~y))-3*(x&~y)-3*(x&y),1*(~(x&~y))+2*(x^y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),True,0.010020732879638672
y+(~(x&~x))-1*(~(x&~y))-2*(x|~y)-3*(x|y)+2*(~(x|y))+1*(~(x|~y))+4*(x&~y)+5*(x&y),-~x+1*(~(x^y)),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.00959014892578125
x+(x|~y)-1*(x^y)+~y+(~(x^y))+(~(x&~x))-1*(x|y)-3*(~(x&~y))+1*(~(x|y))+8*(~(x|~y))+2*(x&y),2*y+2*(~(x&y)),2*~(x|y)+4*~(x|~y)+2*(x&~y)+2*(x&y),2*~(x|y)+4*~(x|~y)+2*(x&~y)+2*(x&y),True,0.00997781753540039
~x-1*y+(x|y)+x-1*(~(x^y))-1*(~(x&~x))-2*(x&~y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.009624719619750977
(~(x^y))-1*y+x-1*(~(x&~x))-2*(~(x&y))+(~(x&~y))+1*(~(x|y))+2*(~(x|~y))+1*(x&~y),1*(x|y)-2*(x^y),-1*~(x|~y)-1*(x&~y)+1*(x&y),-1*~(x|~y)-1*(x&~y)+1*(x&y),True,0.009953498840332031
y+x+(x|y)+(~(x^y))-2*(x|~y)+2*~y-1*(~(x|y))-4*(~(x|~y))-4*(x&~y)-2*(x&y),-2*(x^y),-2*(x^y),-2*(x^y),True,0.009440898895263672
3*(x^y)-2*~y+~x-5*(~(x^y))+6*(~(x|y))-2*(~(x|~y))+1*(x&~y)+7*(x&y),2*(x|y),2*(x|y),2*(x|y),True,0.009485721588134766
(~(x&~x))+2*(~(x&y))-1*(~(x^y))-1*(x|~y)+5*y-1*(x|y)-2*(~(x|y))-6*(~(x|~y))-1*(x&~y)-3*(x&y),-~y+1*(x^y),-1*~(x|y)+1*~(x|~y),-1*~(x|y)+1*~(x|~y),True,0.009725093841552734
