#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
-1*x-1*(~(x&y))+2*(x^y)+2*(~(x&~y))-1*(~(x^y))-1*y-2*(x|~y)+(x|y)+6*(~(x|y))-4*(~(x|~y))+5*(x&~y)+1*(x&y),5*~y-(~(x&~x)),4*~(x|y)-1*~(x|~y)+4*(x&~y)-1*(x&y),4*~(x|y)-1*~(x|~y)+4*(x&~y)-1*(x&y),True,0.0008714199066162109
(x^y)-1*(x|y)+(~(x^y))-1*~x+(~(x&~y))+2*y-2*(x|~y)-3*(~(x|~y))+1*(x&~y)-2*(x&y),-(~(x&~x)),1,1,True,0.0007371902465820312
(x|~y)+(~(x^y))-1*~x-2*(~(x|y))-2*(x&~y)-3*(x&y),-~y-y,1,1,True,0.0006685256958007812
x-1*(~(x&~x))+2*(~(x^y))+(~(x&y))-1*(x^y)-2*(x|~y)-1*~x-1*(~(x&~y))+3*(~(x|y))+3*(~(x|~y))+3*(x&~y)+1*(x&y),1*~y,1*~y,1*~y,True,0.0008008480072021484
-1*(x|y)+(~(x^y))-2*(~(x&~y))+x+5*y+~y+3*(~(x|y))+2*(~(x|~y))-4*(x&y),1*(x^y)+3*~x,3*~(x|y)+4*~(x|~y)+1*(x&~y),3*~(x|y)+4*~(x|~y)+1*(x&~y),True,0.0007901191711425781
~y-1*y+2*x-1*(x|~y)-1*(~(x&y))+(~(x&~x))+~x-1*(~(x^y))-2*(x&~y)-1*(x&y),1*(x^y)-(x|y),-1*(x&y),-1*(x&y),True,0.0007557868957519531
-1*(~(x&y))+(x|y)-1*(~(x&~y))-1*x-2*y+~y+3*(~(x|~y))-1*(x&~y)+2*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.0007212162017822266
-2*(x|y)-1*(~(x^y))+y+(~(x&~x))+(~(x&~y))+~x+2*(x^y)-2*x-2*(~(x|y))-5*(~(x|~y))+1*(x&~y)+3*(x&y),-(~(x&y))+1*(x|~y),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.0008230209350585938
~x-1*~y-1*(x^y)+(x|~y)-1*(~(x&~y))-1*(~(x&~x))-1*(x|y)+2*(~(x&y))-2*(~(x|y))+1*(~(x|~y))+1*(x&~y)+1*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.0008640289306640625
-5*~y-4*(~(x&~y))-1*(~(x^y))-1*(~(x&~x))-2*(~(x&y))+x+~x+12*(~(x|y))+5*(~(x|~y))+6*(x&~y)+4*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.0007734298706054688
2*(~(x&y))+y+(~(x&~x))+(x|~y)-1*(~(x^y))-2*~y-1*(~(x|y))-5*(~(x|~y))-3*(x&~y)-3*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.0007479190826416016
(~(x&y))-1*(~(x&~y))+(~(x&~x))-1*(~(x^y))+~y+(x^y)+y-1*~x-1*(x|~y)+1*(~(x|y))-2*(~(x|~y))-2*(x&~y)+2*(x&y),1*x,1*x,1*x,True,0.0007994174957275391
-1*(~(x&~x))+(x^y)-2*(~(x&~y))-1*(~(x&y))+~x+(x|y)+1*(~(x|y))+1*(~(x|~y))-3*(x&~y)-1*(x&y),-2*(x|~y)-x,-2*~(x|y)-3*(x&~y)-3*(x&y),-2*~(x|y)-3*(x&~y)-3*(x&y),True,0.0008029937744140625
(x^y)+(~(x&~y))+(~(x&y))-2*x-1*~x+(~(x^y))+~y+(x|~y)-1*y-4*(~(x|y))-1*(x&~y)+1*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.0007719993591308594
-1*(~(x&y))-2*(~(x&~x))+(x|y)+(x^y)-1*(~(x&~y))-1*x+7*(~(x|y))+2*(~(x|~y))+4*(x&~y)+4*(x&y),1*(~(x^y))+2*~y,3*~(x|y)+2*(x&~y)+1*(x&y),3*~(x|y)+2*(x&~y)+1*(x&y),True,0.0007829666137695312
-1*(~(x^y))-2*(~(x&~y))+x+~x-1*(~(x&y))+(x^y)+5*(~(x|y))+3*(~(x|~y))+1*(x&~y)+4*(x&y),2*(~(x&~x)),-2,-2,True,0.000762939453125
2*(x|y)-1*x-1*~y+(x^y)-1*y+~x-1*(~(x^y))-1*(~(x&~y))-1*(~(x&~x))+4*(~(x|y))+1*(x&~y)+3*(x&y),1*(~(x&y)),1*~(x&y),1*~(x&y),True,0.0007832050323486328
-1*~x+(~(x&y))-1*~y+(~(x^y))-1*x-1*(~(x&~y))-1*(x|~y)+2*(~(x|y))+2*(~(x|~y))+2*(x&~y)+3*(x&y),1*y,1*y,1*y,True,0.0007572174072265625
2*(~(x&~x))+2*(~(x&y))-2*(~(x^y))-1*(x|~y)+5*~y+(x^y)+y-6*(~(x|y))-5*(~(x|~y))-8*(x&~y)+1*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.0007827281951904297
~y-2*(~(x&~x))+(~(x&y))+x+(~(x^y))+y-1*(x|~y)+(~(x&~y))+2*(x^y)-1*(~(x|y))-1*(~(x|~y))+1*(x&y),2*(x|y),2*(x|y),2*(x|y),True,0.0008378028869628906
(x^y)-1*y+2*(x|y)-2*(~(x&~y))+2*(~(x&y))-1*~y+(x|~y)-1*(~(x|y))-2*(~(x|~y))-5*(x&~y)-1*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.0007832050323486328
2*(x|~y)-1*(x|y)-2*x+2*(~(x^y))-2*~x-1*(~(x&y))-1*(~(x&~x))-2*y-2*(~(x|y))+6*(~(x|~y))+4*(x&~y),-2*(~(x&~y))+1*(x^y),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),True,0.0008065700531005859
-1*x+~y-2*(~(x&y))-1*~x-1*(x|~y)+2*(~(x&~y))-3*(~(x|y))+2*(~(x|~y))+4*(x&~y)-4*(x&y),-4*(~(x^y))+1*(x^y),-4*~(x|y)+1*~(x|~y)+1*(x&~y)-4*(x&y),-4*~(x|y)+1*~(x|~y)+1*(x&~y)-4*(x&y),True,0.0007834434509277344
-2*y+(~(x&~x))+~y+(x|y)+~x+(x|~y)-4*(~(x|y))-3*(x&~y)-1*(x&y),1*(x^y),1*(x^y),1*(x^y),True,0.0007195472717285156
5*y-1*(x|~y)-1*x+(~(x&y))+(~(x&~y))+2*(~(x^y))-3*(~(x|y))-8*(~(x|~y))-7*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.000732421875
~x-1*(x|~y)-1*(x|y)-2*(~(x^y))+(x^y)-3*(~(x|~y))-1*(x&~y)+2*(x&y),-2*(~(x&~x)),2,2,True,0.0007231235504150391
~y-2*(~(x&~y))-1*(x|~y)+(~(x^y))+(~(x&y))-1*(~(x|y))+1*(~(x|~y))-1*(x&~y)+3*(x&y),-~x+1*y,-1*~(x|y)+1*(x&y),-1*~(x|y)+1*(x&y),True,0.0007658004760742188
(~(x&~x))-1*x+(x|~y)-1*(x|y)+2*(~(x^y))+2*(~(x&~y))+2*y-1*~y+2*(~(x|y))+3*(~(x|~y))+3*(x&~y)-6*(x&y),5*~x+2*(~(x&y)),7*~(x|y)+7*~(x|~y)+2*(x&~y),7*~(x|y)+7*~(x|~y)+2*(x&~y),True,0.0008189678192138672
~y-1*(~(x&~y))-3*(x^y)+2*y+(~(x&y))+2*x+(~(x^y))-1*(~(x|y))+2*(~(x|~y))+1*(x&~y)-2*(x&y),1*(x|y)+1*(x|~y),1*~(x|y)+1*~(x|~y)+2*(x&~y)+2*(x&y),1*~(x|y)+1*~(x|~y)+2*(x&~y)+2*(x&y),True,0.0007956027984619141
-1*~x+2*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-5*(x&~y)-4*(x&y),-2*(x|~y)-~y,-3*~(x|y)-3*(x&~y)-2*(x&y),-3*~(x|y)-3*(x&~y)-2*(x&y),True,0.0006937980651855469
(~(x^y))+(~(x&y))-1*x+(x^y)+(~(x&~y))-5*(~(x&~x))+3*(~(x|y))+2*(~(x|~y))+5*(x&~y)+5*(x&y),1*(x|~y),1*(x|~y),1*(x|~y),True,0.0008246898651123047
-1*~y-2*x+(x|y)-1*(~(x^y))-1*(~(x&y))-1*(~(x&~x))-1*y+3*(~(x|y))+1*(~(x|~y))+4*(x&~y)+4*(x&y),-~x,-1*~x,-1*~x,True,0.0007555484771728516
(x|~y)-1*x-1*(~(x&~y))+5*(~(x^y))-1*(~(x&y))+2*(x^y)+(~(x&~x))-5*(~(x|y))-1*(x&~y)-4*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.0007572174072265625
~y+(x|y)+2*(~(x&y))-1*x-2*(~(x&~x))-1*(x^y)-5*(x|~y)+3*(~(x|y))-1*(~(x|~y))+5*(x&~y)+6*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.0008139610290527344
x+(x^y)+2*(~(x&y))-5*~x-1*(~(x^y))+2*~y-1*(x|~y)+y+3*(~(x|y))-6*(x&~y)-1*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.0007488727569580078
-1*(x|~y)+(x|y)+(~(x^y))+(~(x&~x))-2*y-2*(x^y)+5*(~(x&y))-1*(~(x&~y))-6*(~(x|y))-3*(~(x|~y))-3*(x&~y)+2*(x&y),-~x+1*x,-1*~(x|y)-1*~(x|~y)+1*(x&~y)+1*(x&y),-1*~(x|y)-1*~(x|~y)+1*(x&~y)+1*(x&y),True,0.0008187294006347656
2*(~(x^y))-4*x+(~(x&~x))-2*~x+y-1*(~(x&y))+~y+(x|y)-1*(x|~y)-1*(~(x|~y))+2*(x&~y),-(x^y),-1*(x^y),-1*(x^y),True,0.0007543563842773438
~x-4*(~(x&y))+2*~y+(~(x^y))-1*x-3*(~(x|y))+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(~(x&~x)),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),True,0.000736236572265625
5*(x|y)-1*(x^y)+2*x-1*~x-1*(~(x&y))+(~(x&~x))-3*(~(x|~y))-7*(x&~y)-9*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.0007839202880859375
-2*(x^y)-1*(~(x&~x))+~x+(~(x&~y))-1*~y+5*(~(x|y))+2*(~(x|~y))+4*(x&~y)+6*(x&y),5*(~(x^y))+1*y,5*~(x|y)+1*~(x|~y)+6*(x&y),5*~(x|y)+1*~(x|~y)+6*(x&y),True,0.0007534027099609375
x-2*(~(x&~y))+2*(~(x^y))+~y+3*(x^y)+2*(x|y)-2*(~(x|y))-4*(~(x|~y))-8*(x&~y)-3*(x&y),-(~(x&y)),-1*~(x&y),-1*~(x&y),True,0.0007600784301757812
-2*(~(x&~y))+(x^y)-2*y+4*~y-3*(~(x|y))+2*(~(x|~y))-3*(x&~y)+7*(x&y),3*x-(~(x&y)),-1*~(x|y)-1*~(x|~y)+2*(x&~y)+3*(x&y),-1*~(x|y)-1*~(x|~y)+2*(x&~y)+3*(x&y),True,0.0007228851318359375
x-1*(~(x&~x))+y+2*(~(x&~y))-1*~y-1*(~(x^y))-1*(x^y)+6*(~(x|y))+6*(x&~y)+2*(x&y),4*(x|~y)+1*~x,5*~(x|y)+1*~(x|~y)+4*(x&~y)+4*(x&y),5*~(x|y)+1*~(x|~y)+4*(x&~y)+4*(x&y),True,0.000759124755859375
-3*~x-1*(~(x^y))+4*x-1*~y+(~(x&y))+(~(x&~x))+4*(~(x|y))+4*(~(x|~y))-3*(x&~y)-3*(x&y),1*(~(x&~y))+2*(x^y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),True,0.0007839202880859375
2*(~(x&y))+y+(~(x&~x))+(x|~y)-1*(~(x^y))-2*~y-1*(~(x|y))-5*(~(x|~y))-3*(x&~y)-3*(x&y),-(x|y),-1*(x|y),-1*(x|y),True,0.0008063316345214844
(~(x&~y))+2*(x^y)-1*~y+(x|y)+(~(x&~x))+~x+y+x-4*(~(x|y))-9*(~(x|~y))-6*(x&~y)-5*(x&y),-2*(~(x&y)),-2*~(x&y),-2*~(x&y),True,0.000782012939453125
-2*(x|y)-1*~y-4*(~(x&~x))+~x-2*(x^y)+3*(~(x|y))+6*(~(x|~y))+9*(x&~y)+5*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.0007414817810058594
(~(x&~y))-2*y+(~(x^y))-1*(x|y)+(~(x&~x))-5*(~(x|y))-1*(~(x|~y)),-2*~x,-2*~x,-2*~x,True,0.0006902217864990234
-1*x-1*~x+4*(x|~y)-1*(~(x&~y))-1*~y-4*(x&~y)-1*(x&y),1*(~(x^y))-2*(x^y),1*~(x|y)-2*~(x|~y)-2*(x&~y)+1*(x&y),1*~(x|y)-2*~(x|~y)-2*(x&~y)+1*(x&y),True,0.0007562637329101562
-1*(x|y)+(~(x^y))+(~(x&y))+x+(x^y)-1*(x|~y)-1*(~(x&~x))-2*~y+3*(~(x|y))+2*(x&~y),1*~x-y,1*~(x|y)-1*(x&y),1*~(x|y)-1*(x&y),True,0.0007581710815429688
(x^y)+~y-2*(x|y)-1*(~(x&y))-1*(~(x&~x))+2*(~(x&~y))-1*x+y+2*~x-4*(~(x|y))-2*(~(x|~y))+3*(x&~y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.0007874965667724609
(x|y)+(~(x&~y))+~y-1*y-1*(x|~y)-5*~x-1*(~(x&~x))+8*(~(x|y))+5*(~(x|~y))+4*(x&y),3*(~(x^y)),3*~(x^y),3*~(x^y),True,0.0007486343383789062
~y-1*~x-1*(x|y)+(x^y)-1*y+2*(x|~y)+(~(x&~y))+(~(x^y))-1*x-3*(~(x|y))+2*(~(x|~y))-1*(x&~y),1*(~(x&~x)),-1,-1,True,0.000823974609375
~x+3*(x^y)+2*(~(x&~y))+(~(x&~x))+~y-1*y+2*(x|~y)-1*(~(x^y))-6*(~(x|y))-5*(~(x|~y))-5*(x&~y)-1*(x&y),1*(x|y)+1*x,1*~(x|~y)+2*(x&~y)+2*(x&y),1*~(x|~y)+2*(x&~y)+2*(x&y),True,0.0008122920989990234
-2*(~(x^y))+~y-1*(x|y)+~x-1*(~(x&y))+(~(x&~y))+(~(x&~x))-1*(~(x|y))-1*(~(x|~y))+1*(x&~y)+2*(x&y),1*x,1*x,1*x,True,0.0007724761962890625
(x|y)-2*~y-1*y+2*x-1*(~(x&~x))-1*(x|~y)+3*(~(x|y))+1*(x&~y)-1*(x&y),-(~(x&~y)),-1*~(x&~y),-1*~(x&~y),True,0.0007171630859375
x-1*(~(x&y))-1*(x^y)+(~(x&~y))-1*(~(x^y))-1*(~(x&~x))+1*(~(x|y))+3*(~(x|~y))+2*(x&~y)+2*(x&y),-~x+2*y,-1*~(x|y)+1*~(x|~y)+2*(x&y),-1*~(x|y)+1*~(x|~y)+2*(x&y),True,0.0007755756378173828
(~(x&~x))-1*(~(x^y))-1*(~(x&y))-1*x+~y+y-2*~x+4*(~(x|y))+4*(~(x|~y))+1*(x&~y)+3*(x&y),1*(x|y)+2*(~(x&~y)),2*~(x|y)+3*~(x|~y)+1*(x&~y)+3*(x&y),2*~(x|y)+3*~(x|~y)+1*(x&~y)+3*(x&y),True,0.0007994174957275391
-4*(~(x^y))+~y+y+~x+(~(x&y))+2*(~(x&~y))-1*(x|~y)+(x|y)+2*(x^y)-1*(~(x|y))-9*(~(x|~y))-5*(x&~y),-(~(x&~x)),1,1,True,0.0007958412170410156
(~(x&~y))+2*~x-1*(~(x&y))+(~(x&~x))+(x|~y)-7*(~(x|y))-3*(~(x|~y))-2*(x&~y)-7*(x&y),-x-3*(~(x^y)),-3*~(x|y)-1*(x&~y)-4*(x&y),-3*~(x|y)-1*(x&~y)-4*(x&y),True,0.0007641315460205078
~x+(x|y)+y-1*(~(x&~y))+(~(x^y))+(~(x&y))-4*(~(x|y))-5*(~(x|~y))-3*(x&~y)-3*(x&y),1*x-2*(~(x&~x)),-2*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),-2*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0008072853088378906
-1*(x|~y)+5*y+(~(x&~y))-1*(~(x&y))-2*(~(x^y))+~y+(x^y)-1*(x|y)+1*(~(x|y))-6*(~(x|~y))-1*(x&~y)-4*(x&y),-x-(~(x&~x)),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-2*(x&y),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-2*(x&y),True,0.0008807182312011719
2*(~(x&~y))-1*~y+2*(~(x&~x))-1*(x^y)-1*(~(x^y))+(~(x&y))+(x|y)-1*x+4*~x-9*(~(x|y))-9*(~(x|~y))-3*(x&~y)-5*(x&y),-2*(x|~y),-2*(x|~y),-2*(x|~y),True,0.0008246898651123047
(x|y)+x-1*(x|~y)-5*~x+(~(x^y))-1*y-1*(~(x&~y))+~y+7*(~(x|y))+8*(~(x|~y))+1*(x&y),1*(~(x&~x))+1*(~(x&y)),2*~(x|y)+2*~(x|~y)+2*(x&~y)+1*(x&y),2*~(x|y)+2*~(x|~y)+2*(x&~y)+1*(x&y),True,0.0008006095886230469
-1*~x-1*(x^y)+y+(~(x&~x))-1*(~(x^y))+2*~y+1*(~(x|~y))-2*(x&~y),1*(~(x&~y)),1*~(x&~y),1*~(x&~y),True,0.0007047653198242188
(~(x&y))+2*~x-1*(x|y)+(~(x&~y))-6*(~(x|y))-3*(~(x|~y))-2*(x&~y)-1*(x&y),-~y-(x|~y),-2*~(x|y)-2*(x&~y)-1*(x&y),-2*~(x|y)-2*(x&~y)-1*(x&y),True,0.0007467269897460938
-1*(x^y)+(~(x&~x))-1*(x|~y)-1*(~(x^y))+(~(x&~y))-2*(~(x|y))-3*(~(x|~y))+1*(x&~y),-2*~x,-2*~x,-2*~x,True,0.0007162094116210938
y+~x-1*x-1*(x|~y)+(~(x&y))+(x|y)+(~(x&~y))-1*(~(x&~x))-3*(x^y)-2*(~(x|y))-1*(~(x|~y))+3*(x&~y),-~y,-1*~y,-1*~y,True,0.0007822513580322266
y-1*(~(x&~x))+3*(x^y)+(~(x&y))+1*(~(x|y))-3*(~(x|~y))-3*(x&~y)+1*(x&y),1*(~(x&~y)),1*~(x&~y),1*~(x&~y),True,0.0007143020629882812
4*(~(x&y))+(x^y)-1*~x+~y+(~(x&~y))+(~(x&~x))-4*(~(x|y))-6*(~(x|~y))-6*(x&~y),1*(x|~y)+1*(~(x^y)),2*~(x|y)+1*(x&~y)+2*(x&y),2*~(x|y)+1*(x&~y)+2*(x&y),True,0.0007977485656738281
(~(x^y))+2*~y+(~(x&y))-1*(x|y)+(~(x&~x))-1*(~(x&~y))-1*x+y-3*(~(x|y))-2*(x&~y),1*~x,1*~x,1*~x,True,0.0007572174072265625
2*y+(x|y)-1*(~(x^y))-1*~x+(x^y)-4*(~(x&y))+(x|~y)+~y+x+5*(~(x|y))+2*(~(x|~y))-1*(x&~y)-3*(x&y),1*(~(x&~y)),1*~(x&~y),1*~(x&~y),True,0.0008387565612792969
(~(x&y))-1*(~(x^y))+y+~x+(~(x&~x))-3*(~(x|y))-5*(~(x|~y))-4*(x&~y)-2*(x&y),-(x|y)-~y,-1*~(x|y)-1*~(x|~y)-2*(x&~y)-1*(x&y),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-1*(x&y),True,0.0007627010345458984
~y-1*~x-1*(x|y)+(x^y)-1*y+2*(x|~y)+(~(x&~y))+(~(x^y))-1*x-3*(~(x|y))+2*(~(x|~y))-1*(x&~y),1*(~(x&~x)),-1,-1,True,0.0007848739624023438
-3*~x-1*(~(x^y))+4*x-1*~y+(~(x&y))+(~(x&~x))+4*(~(x|y))+4*(~(x|~y))-3*(x&~y)-3*(x&y),1*(~(x&~y))+2*(x^y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),1*~(x|y)+3*~(x|~y)+2*(x&~y)+1*(x&y),True,0.0007951259613037109
y+(~(x&~x))-1*(~(x&~y))-2*(x|~y)-3*(x|y)+2*(~(x|y))+1*(~(x|~y))+4*(x&~y)+5*(x&y),-~x+1*(~(x^y)),-1*~(x|~y)+1*(x&y),-1*~(x|~y)+1*(x&y),True,0.0007715225219726562
x+(x|~y)-1*(x^y)+~y+(~(x^y))+(~(x&~x))-1*(x|y)-3*(~(x&~y))+1*(~(x|y))+8*(~(x|~y))+2*(x&y),2*y+2*(~(x&y)),2*~(x|y)+4*~(x|~y)+2*(x&~y)+2*(x&y),2*~(x|y)+4*~(x|~y)+2*(x&~y)+2*(x&y),True,0.0007987022399902344
~x-1*y+(x|y)+x-1*(~(x^y))-1*(~(x&~x))-2*(x&~y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.0007128715515136719
(~(x^y))-1*y+x-1*(~(x&~x))-2*(~(x&y))+(~(x&~y))+1*(~(x|y))+2*(~(x|~y))+1*(x&~y),1*(x|y)-2*(x^y),-1*~(x|~y)-1*(x&~y)+1*(x&y),-1*~(x|~y)-1*(x&~y)+1*(x&y),True,0.0007588863372802734
y+x+(x|y)+(~(x^y))-2*(x|~y)+2*~y-1*(~(x|y))-4*(~(x|~y))-4*(x&~y)-2*(x&y),-2*(x^y),-2*(x^y),-2*(x^y),True,0.0007343292236328125
3*(x^y)-2*~y+~x-5*(~(x^y))+6*(~(x|y))-2*(~(x|~y))+1*(x&~y)+7*(x&y),2*(x|y),2*(x|y),2*(x|y),True,0.0007097721099853516
(~(x&~x))+2*(~(x&y))-1*(~(x^y))-1*(x|~y)+5*y-1*(x|y)-2*(~(x|y))-6*(~(x|~y))-1*(x&~y)-3*(x&y),-~y+1*(x^y),-1*~(x|y)+1*~(x|~y),-1*~(x|y)+1*~(x|~y),True,0.0007834434509277344
2*~y-1*(x|~y)+5*~x+(~(x&~x))-1*x-5*(~(x|y))-5*(~(x|~y))-1*(x&~y)+3*(x&y),1*(~(x&~y))+1*(~(x^y)),2*~(x|y)+1*~(x|~y)+2*(x&y),2*~(x|y)+1*~(x|~y)+2*(x&y),True,0.0008096694946289062
~y+2*~x-4*(x|~y)+y+(~(x&~x))-1*(~(x^y))+2*(x|y)+2*(~(x|y))-5*(~(x|~y))+1*(x&~y)+1*(x&y),1*(~(x&y)),1*~(x&y),1*~(x&y),True,0.0007719993591308594
-1*~y+(x^y)-1*(~(x&~y))+(~(x^y))-1*y-1*(~(x&~x))-2*(x|~y)+(x|y)+~x+3*(~(x|y))+3*(x&~y)+4*(x&y),1*x,1*x,1*x,True,0.0007734298706054688
2*(~(x^y))+(~(x&~x))-2*x-1*(x|~y)+(~(x&~y))-1*~y+y-4*(~(x|y))-4*(~(x|~y))+2*(x&~y)-1*(x&y),-2*(~(x&y))+1*(x|y),-2*~(x|y)-1*~(x|~y)-1*(x&~y)+1*(x&y),-2*~(x|y)-1*~(x|~y)-1*(x&~y)+1*(x&y),True,0.0007987022399902344
-1*~x+x+(~(x&~y))+(~(x&y))+(~(x^y))-2*y+(~(x&~x))-5*(x|y)+1*(~(x|y))+5*(~(x|~y))+6*(x&~y)+5*(x&y),2*~y+2*(x|~y),4*~(x|y)+4*(x&~y)+2*(x&y),4*~(x|y)+4*(x&~y)+2*(x&y),True,0.0008711814880371094
-2*x+(~(x&~x))+2*(x|y)-2*(~(x^y))-1*~x+2*(~(x|y))-4*(~(x|~y))-2*(x&~y),-(x^y)-y,-2*~(x|~y)-1*(x&~y)-1*(x&y),-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0007162094116210938
(x^y)+2*(~(x^y))+4*~x+2*(~(x&~y))-1*(~(x&~x))-1*y-1*x-2*(~(x&y))-2*(~(x|y))-3*(~(x|~y))+6*(x&~y)+1*(x&y),1*~y+2*(x|~y),3*~(x|y)+3*(x&~y)+2*(x&y),3*~(x|y)+3*(x&~y)+2*(x&y),True,0.0008144378662109375
-1*(~(x&~x))-1*~y-1*(~(x&~y))-2*x+3*(~(x|y))-2*(~(x|~y))+3*(x&~y)+1*(x&y),-(x^y)-3*y,-4*~(x|~y)-1*(x&~y)-3*(x&y),-4*~(x|~y)-1*(x&~y)-3*(x&y),True,0.0007288455963134766
-1*~y+~x-2*y+(~(x&~x))-1*(~(x^y))+2*(~(x|y))+1*(~(x|~y))+1*(x&~y)+1*(x&y),2*(~(x&y))-(x|y),2*~(x|y)+1*~(x|~y)+1*(x&~y)-1*(x&y),2*~(x|y)+1*~(x|~y)+1*(x&~y)-1*(x&y),True,0.0007529258728027344
-2*y+(~(x^y))-1*(~(x&~y))+(x|~y)+5*(x^y)-2*(~(x|y))-3*(~(x|~y))-8*(x&~y),-~y-(x|y),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-1*(x&y),-1*~(x|y)-1*~(x|~y)-2*(x&~y)-1*(x&y),True,0.0007638931274414062
-1*(~(x&y))-1*y+(~(x^y))+(x^y)-1*(x|y)-1*(~(x&~x))-1*x-1*~x+(x|~y)+2*(~(x|y))+4*(~(x|~y))+3*(x&~y)+2*(x&y),1*~y,1*~y,1*~y,True,0.0007989406585693359
-1*(~(x&y))-1*(x^y)+(~(x&~y))-1*~y-1*~x-1*(~(x^y))-1*(x|~y)+(~(x&~x))-2*y+3*(~(x|y))+3*(~(x|~y))+2*(x&~y)+1*(x&y),-x,-1*x,-1*x,True,0.0008013248443603516
x+(x|~y)-1*(x^y)+~y+(~(x^y))+(~(x&~x))-1*(x|y)-3*(~(x&~y))+1*(~(x|y))+8*(~(x|~y))+2*(x&y),2*y+2*(~(x&y)),2*~(x|y)+4*~(x|~y)+2*(x&~y)+2*(x&y),2*~(x|y)+4*~(x|~y)+2*(x&~y)+2*(x&y),True,0.0007870197296142578
(x|y)+~x-1*x+~y+2*(~(x&~y))+(~(x^y))+(~(x&~x))-5*(~(x|y))-5*(~(x|~y))-1*(x&~y)-5*(x&y),-y+1*(~(x&y)),1*~(x|y)+1*(x&~y)-1*(x&y),1*~(x|y)+1*(x&~y)-1*(x&y),True,0.0008397102355957031
(~(x&~y))-2*y+(~(x^y))-1*(x|y)+(~(x&~x))-5*(~(x|y))-1*(~(x|~y)),-2*~x,-2*~x,-2*~x,True,0.000682830810546875
-1*(~(x&y))+(~(x&~x))+~x-1*(x^y)+~y+(~(x^y))+(x|y)-2*(~(x&~y))-1*(~(x|y))+1*(~(x|~y)),1*x,1*x,1*x,True,0.0007450580596923828
2*~x+5*(~(x^y))-1*(~(x&y))+(x^y)+x-1*(~(x&~y))+(x|~y)-7*(~(x|y))-3*(~(x|~y))-3*(x&~y)-8*(x&y),-y-(~(x&~x)),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-2*(x&y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-2*(x&y),True,0.0008387565612792969
-1*(x^y)+2*y+(~(x&y))-5*(~(x|y))-6*(~(x|~y))-1*(x&~y)-3*(x&y),-4*~x-x,-4*~(x|y)-4*~(x|~y)-1*(x&~y)-1*(x&y),-4*~(x|y)-4*~(x|~y)-1*(x&~y)-1*(x&y),True,0.0006906986236572266
-1*~x-1*(~(x^y))+2*~y-1*(x^y)-1*(x|~y)-1*y-1*(~(x&y))-1*(~(x&~y))-1*(~(x|y))+1*(~(x|~y))-3*(x&~y),-4*(~(x&~x)),4,4,True,0.0007665157318115234
~y+(~(x&~y))+(x|~y)+x-2*(x|y)+(~(x^y))+(~(x&~x))+2*~x-8*(~(x|y))-3*(~(x|~y))-3*(x&~y)-3*(x&y),-(~(x&y)),-1*~(x&y),-1*~(x&y),True,0.0007970333099365234
